name,nationality,nationality2,position,played_in_khl,played_in_nhl,teams,gagarin_cup,stanley_cup,olympic_gold,world_gold,link
Вадим Шипачев,Россия,N/A,Нападающий,ИСТИНА,ИСТИНА,"""A"" / ""C"" / Ak Bars Kazan / Dinamo Minsk / Dynamo Moskva / HK Belgorod / OAR / Россия / Россия (all) / SKA St. Petersburg / Severstal Cherepovets / Severstal Cherepovets-2 / Vegas Golden Knights",ИСТИНА,ЛОЖЬ,ИСТИНА,ИСТИНА,https://www.eliteprospects.com/player/19550/vadim-shipachyov
Сергей Мозякин,Россия,N/A,Нападающий,ИСТИНА,ЛОЖЬ,"""A"" / ""C"" / Atlant Mytishchi / CSKA Moskva / HK CSKA Moskva / HK CSKA Moskva-2 / Khimik Mytishchi / Metallurg Magnitogorsk / OAR / Россия / Россия (all) / Torpedo Yaroslavl-2 / Val-d'Or Foreurs",ИСТИНА,ЛОЖЬ,ИСТИНА,ИСТИНА,https://www.eliteprospects.com/player/14828/sergei-mozyakin
Александр Радулов,Россия,N/A,Нападающий,ИСТИНА,ИСТИНА,"""A"" / ""C"" / Ak Bars Kazan / CSKA Moskva / Dallas Stars / Dynamo Moskva / Dynamo Moskva-2 / Lokomotiv Yaroslavl / Milwaukee Admirals / Montréal Canadiens / Nashville Predators / Québec Remparts / Россия / Россия (all) / Россия U18 / Россия U20 / Salavat Yulaev Ufa / THK Tver",ИСТИНА,ЛОЖЬ,ЛОЖЬ,ИСТИНА,https://www.eliteprospects.com/player/8794/alexander-radulov
Никита Гусев,Россия,N/A,Нападающий,ИСТИНА,ИСТИНА,"""A"" / Amur Khabarovsk / Belye Medvedi Moskva / CSKA Moskva / CSKA-Krasnaya Armiya Moskva / Dynamo Moskva / Florida Panthers / Krasnaya Armiya Moskva / New Jersey Devils / OAR / Россия / Россия (all) / Россия U20 / SKA St. Petersburg / THK Tver / Yugra Khanty-Mansiysk",ИСТИНА,ЛОЖЬ,ИСТИНА,ЛОЖЬ,https://www.eliteprospects.com/player/75169/nikita-gusev
Данис Зарипов,Россия,N/A,Нападающий,ИСТИНА,ЛОЖЬ,"""A"" / ""C"" / Ak Bars Kazan / Ak Bars Kazan-2 / Mechel Chelyabinsk / Mechel Chelyabinsk-2 / Metallurg Magnitogorsk / Россия / Россия (all) / Swift Current Broncos / Zvezda Chebarkul",ИСТИНА,ЛОЖЬ,ЛОЖЬ,ИСТИНА,https://www.eliteprospects.com/player/11045/danis-zaripov
Найджел Доус,Канада,Казахстан,Нападающий,ИСТИНА,ИСТИНА,"""A"" / ""C"" / Adler Mannheim / Ak Bars Kazan / Atlanta Thrashers / Avtomobilist Yekaterinburg / Barys Astana / Calgary Flames / Канада U20 / Канада Western U17 / Chicago Wolves / Hamilton Bulldogs / Hartford Wolf Pack / Казахстан / Казахстан (all) / Kootenay Ice / Montréal Canadiens / New York Rangers / Phoenix Coyotes / Winnipeg Saints / Winnipeg Warriors U18 AAA",ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,https://www.eliteprospects.com/player/9503/nigel-dawes
Сергей Широков,Россия,N/A,Нападающий,ИСТИНА,ИСТИНА,"""A"" / ""C"" / Avangard Omsk / Avtomobilist Yekaterinburg / CSKA Moskva / CSKA Moskva-2 / HK CSKA Moskva-2 / Manitoba Moose / OAR / Россия / Россия (all) / Россия U18 / Россия U20 / SDYUSHOR CSKA Moskva / SKA St. Petersburg / Sibir Novosibirsk / Spartak Moskva / Vancouver Canucks",ИСТИНА,ЛОЖЬ,ИСТИНА,ИСТИНА,https://www.eliteprospects.com/player/9264/sergei-shirokov
Дмитрий Кагарлицкий,Россия,N/A,Нападающий,ИСТИНА,ЛОЖЬ,"""A"" / Ak Bars Kazan / Atlant Mytishchi / Atlant Mytishchi-2 / Donbass Donetsk / Dynamo Moskva / HK Ryazan / Khimik Mytishchi / Khimik Mytishchi-2 / Krylia Sovetov Moskva / MHK Krylia Sovetov Moskva / Metallurg Novokuznetsk / Mytishchinskie Atlanty / Россия (all) / Россия II (all) / Россия U18 / SKA St. Petersburg / Severstal Cherepovets / Severstal Cherepovets-2 / Titan Klin / Torpedo Nizhny Novgorod",ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,https://www.eliteprospects.com/player/11862/dmitri-kagarlitsky
Сергей Плотников,Россия,N/A,Нападающий,ИСТИНА,ИСТИНА,"""A"" / ""C"" / Amur Khabarovsk / Amur Khabarovsk-2 / Amurskie Tigry Khabarovsk / Arizona Coyotes / CSKA Moskva / Lokomotiv Yaroslavl / Metallurg Magnitogorsk / Pittsburgh Penguins / Россия / Россия (all) / Россия 25 (all) / Россия U20 (all) / SKA St. Petersburg / Yermak Angarsk",ИСТИНА,ЛОЖЬ,ЛОЖЬ,ИСТИНА,https://www.eliteprospects.com/player/17760/sergei-plotnikov
Мэтт Эллисон,Канада,N/A,Нападающий,ИСТИНА,ИСТИНА,Chicago Blackhawks / Cowichan Valley Capitals / Dinamo Minsk / Dinamo Riga / EHC Biel-Bienne / HK MVD / Kerry Park Islanders / Medvescak Zagreb / Metallurg Magnitogorsk / Milwaukee Admirals / Norfolk Admirals / Philadelphia Flyers / Philadelphia Phantoms / Red Deer Rebels / Torpedo Nizhny Novgorod,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,https://www.eliteprospects.com/player/9145/matt-ellison
Стефан Да Коста,Франция,Польша,Нападающий,ИСТИНА,ИСТИНА,"""A"" / ""C"" / Ak Bars Kazan / Amiens U18 / Amiens U22 / Avtomobilist Yekaterinburg / Binghamton Senators / CSKA Moskva / France / France (all) / France U18 / France U20 / Genève-Servette HC / Lokomotiv Yaroslavl / Merrimack College / Ottawa Senators / Sioux City Musketeers / Texas Tornado / Viry U18",ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,https://www.eliteprospects.com/player/14394/stephane-da-costa
Роман Старченко,Казахстан,N/A,Нападающий,ИСТИНА,ЛОЖЬ,"""A"" / ""C"" / Barys Astana / Barys Astana-2 / Barys Nur-Sultan / Казахстан / Казахстан (all) / Казахстан U18 / Казахстан U20 / Kazzinc-Torpedo / Spartak Moskva / Torpedo Ust-Kamenogorsk-2",ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,https://www.eliteprospects.com/player/24633/roman-starchenko
Брэндон Боченски,США,Казахстан,Нападающий,ИСТИНА,ИСТИНА,"""A"" / ""C"" / Anaheim Ducks / Barys Astana / Binghamton Senators / Blaine High / Boston Bruins / Chicago Blackhawks / Казахстан / Казахстан (all) / Lincoln Stars / Nashville Predators / Norfolk Admirals / Ottawa Senators / Providence Bruins / Tampa Bay Lightning / США / Univ. of North Dakota",ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,https://www.eliteprospects.com/player/10260/brandon-bochenski
Кевин Даллман,Канада,Казахстан,Защитник,ИСТИНА,ИСТИНА,"""A"" / ""C"" / Barys Astana / Boston Bruins / Guelph Storm / Казахстан / Казахстан (all) / Los Angeles Kings / Manchester Monarchs / Niagara Falls Canucks / Providence Bruins / SKA St. Petersburg / St. Louis Blues",ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,https://www.eliteprospects.com/player/9129/kevin-dallman
Денис Паршин,Россия,N/A,Нападающий,ИСТИНА,ЛОЖЬ,"""A"" / Avangard Omsk / CSKA Moskva / CSKA Moskva-2 / Dinamo Riga / HC 19 Humenné / HC Kosice / Lokomotiv Yaroslavl-2 / Metallurg Magnitogorsk / Neftekhimik Nizhnekamsk / Россия (all) / Россия U18 / Россия U20 / Salavat Yulaev Ufa / Torpedo Nizhny Novgorod / Yugra Khanty-Mansiysk",ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,https://www.eliteprospects.com/player/9588/denis-parshin
Михаил Варнаков,Россия,N/A,Нападающий,ИСТИНА,ЛОЖЬ,"""A"" / ""C"" / Ak Bars Kazan / Dynamo Moskva / Dynamo Moskva-2 / HK Norilsk / Lokomotiv Yaroslavl / Россия (all) / SKA St. Petersburg / Torpedo Nizhny Novgorod / Torpedo Nizhny Novgorod-2",ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,https://www.eliteprospects.com/player/20927/mikhail-varnakov
Дмитрий Кугрышев,Россия,N/A,Нападающий,ИСТИНА,ЛОЖЬ,"""A"" / Avangard Omsk / CSKA Moskva / CSKA Moskva-2 / Hershey Bears / Krasnaya Armiya Moskva / Lada Togliatti / Québec Remparts / Россия (all) / Россия U16 (all) / Россия U18 / Россия U20 / SDYUSHOR CSKA Moskva / Salavat Yulaev Ufa / Sibir Novosibirsk / South Carolina Stingrays / Spartak Moskva / Vityaz Moscow Region",ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,https://www.eliteprospects.com/player/11865/dmitri-kugryshev
Антон Бурдасов,Россия,N/A,Нападающий,ИСТИНА,ЛОЖЬ,"""A"" / Avangard Omsk / Barys Astana / Belye Medvedi Chelyabinsk / CSKA Moskva / Россия / Россия (all) / Россия II (all) / Россия U16 (all) / Россия U17 / Россия U20 / SKA St. Petersburg / Salavat Yulaev Ufa / Traktor Chelyabinsk / Traktor Chelyabinsk-2",ИСТИНА,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,https://www.eliteprospects.com/player/38657/anton-burdasov
Егор Миловзоров,Россия,N/A,Нападающий,ИСТИНА,ЛОЖЬ,"""A"" / Ak Bars Kazan / Avtomobilist Yekaterinburg / Dynamo Moskva / Kristall Saratov / Neftekhimik Nizhnekamsk / Sibir Novosibirsk / Sibir Novosibirsk-2 / Yugra Khanty-Mansiysk",ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,https://www.eliteprospects.com/player/10492/yegor-milovzorov
Теему Хартикайнен,Финляндия,N/A,Нападающий,ИСТИНА,ИСТИНА,"""A"" / ""C"" / Edmonton Oilers / Финляндия / Финляндия (all) / Финляндия U16 (all) / Финляндия U17 (all) / Финляндия U18 / Финляндия U18 (all) / Финляндия U20 / Финляндия U20 (all) / Genève-Servette HC / KalPa / KalPa U16 / KalPa U18 / KalPa U20 / Oklahoma City Barons / Salavat Yulaev Ufa / Suomi U20",ЛОЖЬ,ЛОЖЬ,ИСТИНА,ИСТИНА,https://www.eliteprospects.com/player/11365/teemu-hartikainen
Константин Окулов,Россия,N/A,Нападающий,ИСТИНА,ЛОЖЬ,"""A"" / Avangard Omsk / CSKA Moskva / Россия / Россия (all) / Россия II (all) / Россия U20 (all) / Sibir Novosibirsk / Sibirskie Snaipery Novosibirsk / Zvezda Chekhov",ИСТИНА,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,https://www.eliteprospects.com/player/160611/konstantin-okulov
Линус Умарк,Швеция,N/A,Нападающий,ИСТИНА,ИСТИНА,"""A"" / Buffalo Sabres / Dynamo Moskva / EV Zug / Edmonton Oilers / Genève-Servette HC / Jokerit / Luleå HF / Luleå HF J18 / Luleå HF J20 / Oklahoma City Barons / Salavat Yulaev Ufa / Швеция / Швеция (all) / Швеция U19 (all) / Швеция U20 / Швеция U20 (all)",ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,ИСТИНА,https://www.eliteprospects.com/player/4008/linus-omark
Илья Ковальчук,Россия,N/A,Нападающий,ИСТИНА,ИСТИНА,"""A"" / ""C"" / Ak Bars Kazan / Atlanta Thrashers / Avangard Omsk / Khimik Mytishchi / Los Angeles Kings / Montréal Canadiens / New Jersey Devils / OAR / Россия / Россия (all) / Россия U17 / Россия U18 / Россия U20 / SKA St. Petersburg / Spartak Moskva / Spartak Moskva-2 / Washington Capitals",ИСТИНА,ЛОЖЬ,ИСТИНА,ИСТИНА,https://www.eliteprospects.com/player/3660/ilya-kovalchuk
Александр Попов,Россия,N/A,Нападающий,ИСТИНА,ЛОЖЬ,"""A"" / Avangard Omsk / Avangard Omsk-2 / Avangard-VDV Omsk / CSKA Moskva / Omskie Yastreby / Россия / Россия (all) / Yermak Angarsk",ИСТИНА,ЛОЖЬ,ЛОЖЬ,ИСТИНА,https://www.eliteprospects.com/player/16735/alexander-popov
Лаурис Дарзиньш,Латвия,N/A,Нападающий,ИСТИНА,ЛОЖЬ,"""A"" / ""C"" / Ak Bars Kazan / Dinamo Riga / HC Oceláři Třinec / HK Gomel / HK Lido Nafta Riga / Ilves / Kelowna Rockets / Латвия / Латвия (all) / Латвия U18 / Латвия U20 / Lukko U18 / Lukko U20 / Traktor Chelyabinsk / Vsetínská hokejová",ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,https://www.eliteprospects.com/player/3202/lauris-darzins
Петри Контиола,Финляндия,N/A,Нападающий,ИСТИНА,ИСТИНА,"""A"" / Chicago Blackhawks / Финляндия / Финляндия (all) / Финляндия U20 / HPK / Ilves / Iowa Chops / Jokerit / Lokomotiv Yaroslavl / Metallurg Magnitogorsk / Rockford IceHogs / S-Kiekko U16 / S-Kiekko U18 / Suomi U20 / Tappara / Tappara U18 / Tappara U20 / Toronto Marlies / Traktor Chelyabinsk",ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,https://www.eliteprospects.com/player/4281/petri-kontiola
Джефф Плэтт,Канада,Беларусь,Нападающий,ИСТИНА,ИСТИНА,"""A"" / Anaheim Ducks / Atlantic City Boardwalk Bullies / Avtomobilist Yekaterinburg / Беларусь / Беларусь (all) / CSKA Moskva / Канада U18 / Columbus Blue Jackets / Dynamo Minsk / Erie Otters / Ilves / JYP / Jokerit / Lokomotiv Yaroslavl / North Bay Centennials / North York Canadiens U15 AAA / Portland Pirates / Saginaw Spirit / Salavat Yulaev Ufa / St. Michael's Buzzers / Syracuse Crunch / Tappara / Växjö Lakers HC",ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,https://www.eliteprospects.com/player/9469/geoff-platt
Тейлор Бек,Канада,N/A,Нападающий,ИСТИНА,ИСТИНА,"""A"" / Avangard Omsk / Avtomobilist Yekaterinburg / Bakersfield Condors / Bridgeport Sound Tigers / Канада Ontario U17 / Dinamo Minsk / Edmonton Oilers / Genève-Servette HC / Guelph Storm / Hartford Wolf Pack / Kunlun Red Star / Metallurg Magnitogorsk / Milwaukee Admirals / Nashville Predators / New York Islanders / New York Rangers / Niagara Falls Thunder U16 AAA / San Antonio Rampage / Sibir Novosibirsk",ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,https://www.eliteprospects.com/player/24653/taylor-beck
Александр Пережогин,Россия,Казахстан,Нападающий,ИСТИНА,ИСТИНА,"""A"" / Avangard Omsk / Avangard-VDV Omsk / Hamilton Bulldogs / Montréal Canadiens / Mostovik Kurgan / Россия / Россия (all) / Россия U18 / Россия U20 / Salavat Yulaev Ufa",ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,ИСТИНА,https://www.eliteprospects.com/player/8669/alexander-perezhogin
Максим Шалунов,Россия,N/A,Нападающий,ИСТИНА,ЛОЖЬ,"""A"" / Belye Medvedi Chelyabinsk / CSKA Moskva / Chelmet Chelyabinsk / Lokomotiv Yaroslavl / Rockford IceHogs / Россия / Россия (all) / Россия II (all) / Россия U16 (all) / Россия U17 / Россия U17 (all) / Россия U18 / Россия U18 (all) / Россия U19 (all) / Россия U20 / Россия U20 (all) / Sibir Novosibirsk / Toledo Walleye / Traktor Chelyabinsk / Traktor Chelyabinsk U16 / Traktor Chelyabinsk U17 / Yermak Angarsk",ИСТИНА,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,https://www.eliteprospects.com/player/58566/maxim-shalunov
Алексей Макеев,Россия,N/A,Нападающий,ИСТИНА,ЛОЖЬ,Avangard Omsk / Avto Yekaterinburg / Avtomobilist Yekaterinburg / Gornyak-UGMK / Kedr Novouralsk / Kedr Novouralsk-2 / Россия (all) / Россия II (all) / THK Tver / Vityaz Moscow Region / Vityaz Podolsk,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,https://www.eliteprospects.com/player/130373/alexei-makeyev
Владимир Эдуардович Ткачёв,Россия,N/A,Нападающий,ИСТИНА,ИСТИНА,"""A"" / Admiral Vladivostok / Avangard Omsk / Los Angeles Kings / Moncton Wildcats / Omskie Yastreby / Ontario Reign / Québec Remparts / Россия (all) / Россия II (all) / Россия U18 / Россия U20 (all) / SKA St. Petersburg / SKA-1946 St. Petersburg / SKA-Neva St. Petersburg / Salavat Yulaev Ufa / Yastreby Omsk",ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,https://www.eliteprospects.com/player/211956/vladimir-tkachyov
Владимир Александрович Ткачёв,Россия,N/A,Нападающий,ИСТИНА,ЛОЖЬ,"""A"" / ""C"" / Ak Bars Kazan / Bars Kazan / Lokomotiv Yaroslavl / Neftyanik Almetievsk / Россия / Россия (all) / Россия II (all) / Россия U18 / Россия U20 / Traktor Chelyabinsk",ИСТИНА,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,https://www.eliteprospects.com/player/77117/vladimir-tkachyov
Кирилл Петров,Россия,N/A,Нападающий,ИСТИНА,ЛОЖЬ,"""A"" / Ak Bars Kazan / Ak Bars Kazan-2 / Avangard Omsk / Bars Kazan / Bridgeport Sound Tigers / CSKA Moskva / Neftekhimik Nizhnekamsk / Neftyanik Almetievsk / Россия / Россия (all) / Россия U16 (all) / Россия U18 / Россия U20 / Yugra Khanty-Mansiysk / Yunison-Moskva",ИСТИНА,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,https://www.eliteprospects.com/player/11870/kirill-petrov
Анатолий Голышев,Россия,N/A,Нападающий,ИСТИНА,ЛОЖЬ,"""A"" / ""C"" / Avto Yekaterinburg / Avtomobilist Yekaterinburg / Bridgeport Islanders / Gornyak Uchaly / Россия (all) / Россия II (all) / Россия U20 / Россия U20 (all) / Sputnik Nizhny Tagil",ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,https://www.eliteprospects.com/player/205469/anatoli-golyshev
Дамир Жафяров,Россия,N/A,Нападающий,ИСТИНА,ЛОЖЬ,"""A"" / Admiral Vladivostok / Ak Bars Kazan / Avangard Omsk / Barys Astana / CSKA Moskva / Krasnaya Armiya Moskva / Kuznetskie Medvedi / Metallurg Novokuznetsk / Россия (all) / Россия II (all) / Россия U20 / SKA St. Petersburg / Sibir Novosibirsk / Torpedo Nizhny Novgorod",ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,https://www.eliteprospects.com/player/123117/damir-zhafyarov
Илья Никулин,Россия,N/A,Защитник,ИСТИНА,ЛОЖЬ,"""A"" / ""C"" / Ak Bars Kazan / Dynamo Moskva / Dynamo Moskva-2 / Россия / Россия (all) / Россия U18 / THK Tver",ИСТИНА,ЛОЖЬ,ЛОЖЬ,ИСТИНА,https://www.eliteprospects.com/player/9558/ilya-nikulin
Николай Прохоркин,Россия,N/A,Нападающий,ИСТИНА,ИСТИНА,Avangard Omsk / Buran Voronezh / CSKA Moskva / Krasnaya Armiya Moskva / Los Angeles Kings / Manchester Monarchs / Metallurg Magnitogorsk / OAR / Ontario Reign / Россия (all) / Россия II (all) / Россия U16 (all) / SDYUSHOR Vityaz Podolsk / SKA St. Petersburg / Salavat Yulaev Ufa / Sibir Novosibirsk / THK Tver,ИСТИНА,ЛОЖЬ,ИСТИНА,ЛОЖЬ,https://www.eliteprospects.com/player/93769/nikolai-prokhorkin
Сергей Шмелёв,Россия,N/A,Нападающий,ИСТИНА,ЛОЖЬ,Admiral Vladivostok / Ak Bars Kazan-2 / Atlant Mytishchi / Atlanty Mytishchi / Bars Kazan / HK Sochi / Khimik Voskresensk / Mytishchinskie Atlanty / Neftekhimik Nizhnekamsk / Россия (all) / Россия U16 (all) / Salavat Yulaev Ufa / Spartak Moskva,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,https://www.eliteprospects.com/player/77119/sergei-shmelyov
Дэн Секстон,США,N/A,Нападающий,ИСТИНА,ИСТИНА,"""A"" / Anaheim Ducks / Apple Valley High / Avtomobilist Yekaterinburg / Bakersfield Condors / Bowling Green State Univ. / Manitoba Moose / Neftekhimik Nizhnekamsk / Norfolk Admirals / Sioux Falls Stampede / Syracuse Crunch / TPS / США / Växjö Lakers HC / Wichita Falls Wildcats",ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,https://www.eliteprospects.com/player/31223/dan-sexton
Максим Карпов,Россия,N/A,Нападающий,ИСТИНА,ЛОЖЬ,"""A"" / Belye Medvedi Chelyabinsk / Dynamo Moskva / Mechel Chelyabinsk / Mechel Chelyabinsk-2 / Metallurg Magnitogorsk / Россия (all) / Россия II (all) / SKA St. Petersburg / SKA-Neva St. Petersburg / Sibir Novosibirsk / Traktor Chelyabinsk",ИСТИНА,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,https://www.eliteprospects.com/player/92711/maxim-karpov
Александр Хохлачёв,Россия,N/A,Нападающий,ИСТИНА,ИСТИНА,"""A"" / Amur Khabarovsk / Avangard Omsk / Boston Bruins / HK Sochi / MHK Spartak Moskva / Providence Bruins / Россия II (all) / Россия U16 (all) / Россия U17 / Россия U20 / SDYUSHOR Spartak Moskva / SKA St. Petersburg / Spartak Moskva / Spartak Moskva U17 / Spartak Moskva-2 / Windsor Spitfires",ИСТИНА,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,https://www.eliteprospects.com/player/41925/alexander-khokhlachyov
Кирилл Семенов,Россия,N/A,Нападающий,ИСТИНА,ИСТИНА,"""A"" / Ak Bars Kazan / Avangard Omsk / Metallurg Novokuznetsk / Omskie Yastreby / Россия / Россия (all) / Россия II (all) / Saryarka Karaganda / Toronto Maple Leafs / Toronto Marlies / Yastreby Omsk",ИСТИНА,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,https://www.eliteprospects.com/player/211958/kirill-semyonov
Микс Индрашис,Латвия,N/A,Нападающий,ИСТИНА,ЛОЖЬ,"""A"" / ""C"" / Admiral Vladivostok / Brynäs IF / Dinamo Juniors Riga / Dinamo Riga / Dynamo Moskva / EHC Biel-Bienne / HK Juniors Riga / HK Riga / HK Riga 2000 / HS Riga / Латвия / Латвия (all) / Латвия U18 / Латвия U20 / Metalurgs Liepaja / Metalurgs Liepaja U17 / SK LSPA/Riga / Schwenninger Wild Wings / Vityaz Podolsk",ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,https://www.eliteprospects.com/player/18106/miks-indrasis
Максим Пестушко,Россия,N/A,Нападающий,ИСТИНА,ЛОЖЬ,"""A"" / ""C"" / Avangard Omsk / Bars Kazan / Dynamo Moskva / Neftekhimik Nizhnekamsk / Neftekhimik Nizhnekamsk-2 / Россия (all) / Severstal Cherepovets / Yugra Khanty-Mansiysk",ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,https://www.eliteprospects.com/player/18925/maxim-pestushko
Георгий Белоусов,Россия,N/A,Нападающий,ИСТИНА,ЛОЖЬ,"""A"" / Avtomobilist Yekaterinburg / Gornyak Uchaly / Kuban Krasnodar / Lada Togliatti / Metallurg Mednogorsk / Molot-Prikamie Perm / Neftekhimik Nizhnekamsk / Russkie Vityazi Chekhov / Sibir Novosibirsk / Titan Klin / Traktor Chelyabinsk-2 / Vityaz Chekhov / Vityaz Podolsk / Yuzhny Ural Orsk",ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,https://www.eliteprospects.com/player/38660/georgi-belousov
Патрик Торесен,Норвегия,N/A,Нападающий,ИСТИНА,ИСТИНА,"""A"" / ""C"" / Baie-Comeau Drakkar / Djurgårdens IF / EC Salzburg / Edmonton Oilers / HC Lugano / Moncton Wildcats / Mörrums GoIS / Норвегия / Норвегия (all) / Норвегия U16 (all) / Норвегия U18 / Норвегия U18 (all) / Норвегия U20 / Норвегия U20 (all) / Philadelphia Flyers / SKA St. Petersburg / Salavat Yulaev Ufa / Springfield Falcons / Storhamar / Wilkes-Barre/Scranton Penguins / ZSC Lions",ИСТИНА,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,https://www.eliteprospects.com/player/3419/patrick-thoresen
Алексей Цветков,Россия,N/A,Нападающий,ИСТИНА,ЛОЖЬ,"""A"" / Dynamo Moskva / HK MVD / HK MVD-THK Tver / HK Sochi / Россия (all) / SKA St. Petersburg / SKA St. Petersburg-2 / Salavat Yulaev Ufa / Salavat Yulaev Ufa-2 / Severstal Cherepovets / Severstal Cherepovets-2 / Severstal Cherepovets-3",ИСТИНА,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,https://www.eliteprospects.com/player/16745/alexei-tsvetkov
Константин Глазачев,Россия,N/A,Нападающий,ИСТИНА,ЛОЖЬ,"""A"" / ""C"" / Admiral Vladivostok / Ak Bars Kazan / Amur Khabarovsk / Barys Astana / Dynamo Minsk / Dynamo Moskva / Lokomotiv Yaroslavl / Lokomotiv Yaroslavl-2 / Metallurg Magnitogorsk / Metallurg Novokuznetsk / Metallurg Novokuznetsk-2 / Россия U16 (all) / Россия U17 / Россия U18 / SKA St. Petersburg / Sibir Novosibirsk / Spartak Moskva / Yugra Khanty-Mansiysk",ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,https://www.eliteprospects.com/player/12239/konstantin-glazachev
Джастин Азеведо,Канада,Португалия,Нападающий,ИСТИНА,ЛОЖЬ,"""A"" / ""C"" / Ak Bars Kazan / Канада Ontario U17 / Канада U18 / Chatham Jr. Maroons / Elgin Middlesex Chiefs U15 AAA / HC Lev Praha / Kitchener Rangers / Lukko / Manchester Monarchs / ZSC Lions",ИСТИНА,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,https://www.eliteprospects.com/player/9347/justin-azevedo
Михаил Григоренко,Россия,N/A,Нападающий,ИСТИНА,ИСТИНА,"""A"" / Buffalo Sabres / CSKA Moskva / CSKA Moskva U17 / Colorado Avalanche / Columbus Blue Jackets / Krasnaya Armiya Moskva / OAR / Québec Remparts / Rochester Americans / Россия / Россия (all) / Россия 25 (all) / Россия U16 (all) / Россия U17 / Россия U18 / Россия U20 / SKA St. Petersburg",ИСТИНА,ЛОЖЬ,ИСТИНА,ЛОЖЬ,https://www.eliteprospects.com/player/42435/mikhail-grigorenko
Микелис Редлихс,Латвия,N/A,Нападающий,ИСТИНА,ЛОЖЬ,"""A"" / ""C"" / Boston Jr. Bruins / Dinamo Riga / HK Riga 2000 / IF Björklöven / LB/Prizma / Латвия / Латвия (all) / Латвия U18 / Латвия U20 / Lokomotiv Yaroslavl / Metallurg Zhlobin / New York Apple Core / Olimp Riga / Prizma Riga / Yunost Minsk",ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,https://www.eliteprospects.com/player/5958/mikelis-redlihs
Алексей Морозов,Россия,N/A,Нападающий,ИСТИНА,ИСТИНА,"""A"" / ""C"" / Ak Bars Kazan / CSKA Moskva / Krylia Sovetov Moskva / Krylia Sovetov Moskva-2 / Pittsburgh Penguins / Россия / Россия (all) / Россия U17 / Россия U18 / Россия U20 / Soviet Wings",ИСТИНА,ЛОЖЬ,ЛОЖЬ,ИСТИНА,https://www.eliteprospects.com/player/11044/alexei-morozov
