name,nationality,nationality2,position,played_in_khl,played_in_nhl,teams,gagarin_cup,stanley_cup,olympic_gold,world_gold,link
Никита Щитов,Россия,N/A,Защитник,ИСТИНА,ЛОЖЬ,"""A"" / ""C"" / Avtomobilist Yekaterinburg / HK Sochi / HK Tambov / Kedr Novouralsk / Metallurg Serov / Metallurg Serov-2 / Neftekhimik Nizhnekamsk / Neftekhimik Nizhnekamsk-2 / Salavat Yulaev Ufa / Salavat Yulaev Ufa-2 / Severstal Cherepovets-2 / Spartak Moskva / Toros Neftekamsk",ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,https://www.eliteprospects.com/player/19746/nikita-shchitov
Максим Шабанов,Россия,N/A,Нападающий,ИСТИНА,ЛОЖЬ,Belye Medvedi Chelyabinsk / Chelmet Chelyabinsk / Россия 25 (all) / Россия U17 / Россия U18 (all) / Traktor Chelyabinsk / Traktor Chelyabinsk U16 / Traktor Chelyabinsk U17 / Traktor Chelyabinsk U18,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,https://www.eliteprospects.com/player/375743/maxim-shabanov
Константин Руденко,Казахстан,N/A,Нападающий,ИСТИНА,ЛОЖЬ,"""A"" / ""C"" / Atlant Mytishchi / Avangard Omsk-2 / Barys Astana / Казахстан / Lokomotiv Yaroslavl / Lokomotiv Yaroslavl-2 / SKA St. Petersburg / SKA St. Petersburg-2 / Severstal Cherepovets-2 / Severstal Cherepovets-3",ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,https://www.eliteprospects.com/player/21045/konstantin-rudenko
Ярно Коскиранта,Финляндия,N/A,Нападающий,ИСТИНА,ЛОЖЬ,"""A"" / ""C"" / Blues U18 II / Blues U20 / Финляндия / Финляндия (all) / GrIFK U18 / GrIFK U20 / HC Salamat / Ilves / Jokipojat / Kiekko-Espoo U16 Ch / Kiekko-Espoo U20 / SKA St. Petersburg / SaiPa / Sibir Novosibirsk / Tappara",ИСТИНА,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,https://www.eliteprospects.com/player/21052/jarno-koskiranta
Патрик Херсли,Швеция,N/A,Защитник,ИСТИНА,ЛОЖЬ,IF Sundsvall Hockey / IK Pantern / Krefeld Pinguine / Leksands IF / Lokomotiv Yaroslavl / MIF Redhawks J18 / MIF Redhawks J20 / MIF Redhawks U16 / MODO Hockey / Malmö Redhawks / Malmö Redhawks J18 / Malmö Redhawks J20 / Manchester Monarchs / Philadelphia Phantoms / Reading Royals / SKA St. Petersburg / Sibir Novosibirsk / Spartak Moskva / Швеция / Швеция (all) / Швеция U16 (all) / Швеция U17 (all) / Швеция U18 (all) / Швеция U19 (all) / Швеция U20 (all),ИСТИНА,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,https://www.eliteprospects.com/player/1288/patrik-hersley
Евгений Бодров,Россия,N/A,Нападающий,ИСТИНА,ЛОЖЬ,"""A"" / ""C"" / Ak Bars Kazan / Atlant Mytishchi / Cracovia Krakow / Lada Togliatti / Lada Togliatti-2 / Россия (all) / Россия U18 / Россия U20 / Salavat Yulaev Ufa / Severstal Cherepovets / Sibir Novosibirsk / Spartak Moskva",ИСТИНА,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,https://www.eliteprospects.com/player/9306/yevgeni-bodrov
Михаил Воробьев,Россия,N/A,Нападающий,ИСТИНА,ИСТИНА,Lehigh Valley Phantoms / Philadelphia Flyers / Россия (all) / Россия 25 (all) / Россия U18 / Россия U18 (all) / Россия U20 / SKA St. Petersburg / Salavat Yulaev Ufa / Tolpar Ufa,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,https://www.eliteprospects.com/player/285679/mikhail-vorobyov
Рихард Гюнге,Швеция,N/A,Нападающий,ИСТИНА,ЛОЖЬ,"""A"" / ""C"" / AIK / Admiral Vladivostok / Brynäs IF / Brynäs IF J20 / Dynamo Moskva / HC Lev Praha / Hammarby IF / Hammarby IF J18 / Hammarby IF J20 / IK Oskarshamn / Neftekhimik Nizhnekamsk / Nybro Vikings IF / Швеция (all) / Швеция U17 (all) / Швеция U18 (all) / Швеция U20 (all) / Traktor Chelyabinsk / VIK Västerås HK / Växjö Lakers HC",ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,https://www.eliteprospects.com/player/3482/richard-gynge
Якуб Клепиш,Чехия,N/A,Нападающий,ИСТИНА,ИСТИНА,"""A"" / Avangard Omsk / BK Mladá Boleslav / Bílí Tygři Liberec / Чехия / Чехия (all) / Чехия U17 (all) / Чехия U18 / Чехия U18 (all) / Чехия U20 / Чехия U20 (all) / Dynamo Moskva / Färjestad BK / HC Kometa Brno / HC Lev Praha / HC Oceláři Třinec / HC Plzeň / HC Slavia Praha / HC Slavia Praha U18 / HC Slavia Praha U20 / Hershey Bears / Portland Pirates / Portland Winter Hawks / Rytíři Kladno / Salavat Yulaev Ufa / Washington Capitals",ИСТИНА,ЛОЖЬ,ЛОЖЬ,ИСТИНА,https://www.eliteprospects.com/player/9609/jakub-klepis
Владимир Антипов,Россия,N/A,Нападающий,ИСТИНА,ЛОЖЬ,"""A"" / ""C"" / CSKA Sofia / Lokomotiv Yaroslavl / Long Beach Ice Dogs / Россия / Россия (all) / Россия U18 / Россия U20 / Salavat Yulaev Ufa / Severstal Cherepovets / South Carolina Stingrays / St. John's Maple Leafs / Torpedo Yaroslavl / Torpedo Yaroslavl-2 / Traktor Chelyabinsk",ИСТИНА,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,https://www.eliteprospects.com/player/14378/vladimir-antipov
